1111/Платье Zara/2500/200/100/4,6/Лето/Женская
 7778/Брюки Scotch & Soda/4000/200/120/4,4/Осень/Женская
 7879/Кофта Calvin Klein/2500/500/280/4,3/Зима/Мужская
 7980/Всепогодная куртка Adidas/8000/70/45/4,7/Всесезонные/Унисекс
 8081/Платье H&M/1500/500/300/4,5/Лето/Женская
 8182/Поло Lacoste/3000/300/180/4,3/Весна/Мужская
 8283/Шарф Gucci/2000/100/60/4,2/Осень/Унисекс
 8384/Шорты Hollister/2000/350/200/4,4/Лето/Женская
 8485/Шапка The North Face/1500/200/120/4,1/Зима/Унисекс
 8586/Кроссовки Fila/3500/250/150/4,5/Осень/Мужская
 8687/Пиджак Hugo Boss/8000/60/40/4,9/Осень/Мужская
